Year,Month,numTimes
1900,1,0
1900,2,0
1900,3,0
1900,4,0
1900,5,0
1900,6,0
1900,7,0
1900,8,0
1900,9,0
1900,10,0
1900,11,0
1900,12,0
1901,1,0
1901,2,0
1901,3,0
1901,4,0
1901,5,0
1901,6,0
1901,7,0
1901,8,0
1901,9,0
1901,10,0
1901,11,0
1901,12,0
1902,1,0
1902,2,0
1902,3,0
1902,4,0
1902,5,0
1902,6,0
1902,7,0
1902,8,0
1902,9,0
1902,10,0
1902,11,0
1902,12,0
1903,1,0
1903,2,0
1903,3,0
1903,4,0
1903,5,0
1903,6,0
1903,7,0
1903,8,0
1903,9,0
1903,10,0
1903,11,0
1903,12,0
1904,1,0
1904,2,0
1904,3,0
1904,4,0
1904,5,0
1904,6,0
1904,7,0
1904,8,0
1904,9,0
1904,10,0
1904,11,0
1904,12,0
1905,1,0
1905,2,0
1905,3,0
1905,4,0
1905,5,0
1905,6,0
1905,7,0
1905,8,0
1905,9,0
1905,10,0
1905,11,0
1905,12,0
1906,1,0
1906,2,0
1906,3,0
1906,4,0
1906,5,0
1906,6,0
1906,7,0
1906,8,0
1906,9,0
1906,10,0
1906,11,0
1906,12,0
1907,1,0
1907,2,0
1907,3,0
1907,4,0
1907,5,0
1907,6,0
1907,7,0
1907,8,0
1907,9,0
1907,10,0
1907,11,0
1907,12,0
1908,1,0
1908,2,0
1908,3,0
1908,4,0
1908,5,0
1908,6,0
1908,7,0
1908,8,0
1908,9,0
1908,10,0
1908,11,0
1908,12,0
1909,1,0
1909,2,0
1909,3,0
1909,4,0
1909,5,0
1909,6,0
1909,7,0
1909,8,0
1909,9,0
1909,10,0
1909,11,0
1909,12,0
1910,1,0
1910,2,1
1910,3,0
1910,4,0
1910,5,0
1910,6,0
1910,7,0
1910,8,0
1910,9,0
1910,10,0
1910,11,0
1910,12,0
1911,1,0
1911,2,0
1911,3,0
1911,4,0
1911,5,0
1911,6,0
1911,7,0
1911,8,0
1911,9,0
1911,10,0
1911,11,0
1911,12,0
1912,1,0
1912,2,0
1912,3,0
1912,4,0
1912,5,0
1912,6,0
1912,7,0
1912,8,0
1912,9,0
1912,10,0
1912,11,0
1912,12,0
1913,1,0
1913,2,0
1913,3,0
1913,4,0
1913,5,0
1913,6,0
1913,7,0
1913,8,0
1913,9,0
1913,10,0
1913,11,0
1913,12,0
1914,1,0
1914,2,0
1914,3,0
1914,4,0
1914,5,0
1914,6,0
1914,7,0
1914,8,0
1914,9,0
1914,10,0
1914,11,0
1914,12,0
1915,1,0
1915,2,0
1915,3,0
1915,4,0
1915,5,0
1915,6,0
1915,7,0
1915,8,0
1915,9,0
1915,10,0
1915,11,0
1915,12,0
1916,1,0
1916,2,0
1916,3,0
1916,4,0
1916,5,0
1916,6,0
1916,7,0
1916,8,0
1916,9,0
1916,10,0
1916,11,0
1916,12,0
1917,1,0
1917,2,0
1917,3,0
1917,4,0
1917,5,0
1917,6,0
1917,7,0
1917,8,0
1917,9,0
1917,10,0
1917,11,0
1917,12,0
1918,1,0
1918,2,0
1918,3,0
1918,4,0
1918,5,0
1918,6,0
1918,7,0
1918,8,0
1918,9,0
1918,10,0
1918,11,0
1918,12,0
1919,1,0
1919,2,0
1919,3,0
1919,4,0
1919,5,0
1919,6,0
1919,7,0
1919,8,0
1919,9,0
1919,10,0
1919,11,0
1919,12,0
1920,1,0
1920,2,0
1920,3,0
1920,4,0
1920,5,0
1920,6,0
1920,7,0
1920,8,0
1920,9,0
1920,10,0
1920,11,0
1920,12,0
1921,1,0
1921,2,0
1921,3,0
1921,4,0
1921,5,0
1921,6,0
1921,7,0
1921,8,0
1921,9,0
1921,10,0
1921,11,0
1921,12,0
1922,1,0
1922,2,0
1922,3,0
1922,4,0
1922,5,0
1922,6,1
1922,7,0
1922,8,0
1922,9,0
1922,10,0
1922,11,0
1922,12,0
1923,1,0
1923,2,0
1923,3,0
1923,4,0
1923,5,0
1923,6,0
1923,7,0
1923,8,0
1923,9,0
1923,10,0
1923,11,0
1923,12,0
1924,1,0
1924,2,0
1924,3,0
1924,4,0
1924,5,0
1924,6,0
1924,7,0
1924,8,0
1924,9,0
1924,10,0
1924,11,0
1924,12,0
1925,1,0
1925,2,0
1925,3,0
1925,4,0
1925,5,0
1925,6,0
1925,7,0
1925,8,0
1925,9,0
1925,10,0
1925,11,0
1925,12,0
1926,1,0
1926,2,0
1926,3,0
1926,4,0
1926,5,0
1926,6,0
1926,7,0
1926,8,0
1926,9,0
1926,10,0
1926,11,0
1926,12,0
1927,1,0
1927,2,0
1927,3,0
1927,4,0
1927,5,0
1927,6,0
1927,7,1
1927,8,0
1927,9,0
1927,10,0
1927,11,0
1927,12,0
1928,1,0
1928,2,0
1928,3,0
1928,4,0
1928,5,0
1928,6,0
1928,7,0
1928,8,0
1928,9,0
1928,10,0
1928,11,0
1928,12,0
1929,1,0
1929,2,0
1929,3,0
1929,4,0
1929,5,0
1929,6,0
